,Show,Season,Air_Date,Week_Number,Episode_Number,Episode_Type,Network_TV_Spend,Cable_TV_Spend,Digital_Spend,Impressions,True_Viewership,Revenue,Holiday,LeadIn_Bonus
13,Show3,2,2021-09-26,3,0,PreLaunch,14836.167685326911,17803.401222392295,5934.467074130765,76158994,153709.625035168,110099.74,0,0
14,Show4,5,2024-11-05,9,4,Regular,2951.508028514569,7378.7700712864225,8854.524085543706,30498916,65311.78748371873,45614.712857142855,0,0
15,Show2,2,2021-11-02,9,4,Regular,2509.779166570737,6274.447916426841,7529.33749971221,25934384,51871.266818490745,36703.55285714286,1,0
16,Show2,2,2021-11-24,12,7,Regular,3459.4481545719564,8648.62038642989,10378.344463715868,35747631,63799.07368190017,44619.41714285714,0,0
17,Show3,2,2021-12-01,13,8,Regular,12483.608363382229,14980.330036058675,4993.443345352891,64082523,212974.59688428155,145768.55571428573,0,0
18,Show6,2,2024-08-09,10,5,Regular,17359.576770908996,5786.525590302999,14466.313975757499,66545044,199514.78682421072,143762.78857142857,0,0
19,Show1,2,2021-09-13,2,0,PreLaunch,12782.21701444886,4260.739004816286,10651.847512040715,48998499,106700.2460962078,74413.77428571429,0,0
20,Show7,2,2025-03-12,9,4,Regular,2472.4211315594507,6181.052828898626,7417.263394678352,25548352,58555.95472734678,39958.137142857144,0,0
21,Show6,2,2024-07-18,6,1,Premiere,28733.106914013082,9577.702304671027,23944.25576167757,110143577,178400.53790033868,124229.29857142856,0,0
22,Show3,1,2020-11-28,12,7,Regular,12987.478737725718,15584.974485270863,5194.991495090287,66669057,221370.93520612578,160670.38142857142,0,0
23,Show2,4,2023-10-08,5,0,PreLaunch,7988.550238647009,3195.4200954588036,9586.26028637641,34617051,56368.31855199917,39446.75285714286,0,0
24,Show4,3,2022-10-17,6,1,Premiere,3524.911497509154,10574.734492527463,8812.278743772886,38186541,83713.73520063634,58420.934285714284,0,0
25,Show4,4,2023-12-03,13,8,Regular,13834.99372686436,11529.161439053632,4611.664575621454,59951640,90498.88542529351,62827.48428571429,0,0
26,Show3,5,2024-11-11,10,5,Regular,6866.941788313192,20600.825364939574,17167.35447078298,74391869,206537.94278127025,149725.55,0,0
27,Show4,3,2022-11-07,9,4,Regular,2648.3783110593254,7945.134933177976,6620.945777648312,28690765,73980.98221119867,51537.30857142857,0,0
28,Show8,1,2024-02-19,6,1,Premiere,,9404.20367224659,11285.044406695906,38870708,141823.08729594722,99835.89714285715,0,0
29,Show3,5,2024-10-28,8,3,Regular,8284.713226422044,24854.139679266133,20711.783066055108,89751060,228982.38575989954,155357.93,0,0
30,Show5,2,2024-07-27,8,3,Regular,3093.2722696794012,7733.180674198504,9279.816809038202,31963813,75987.61468403663,52913.73142857143,0,0
31,Show7,2,2025-03-20,10,5,Regular,2176.9420703822684,5442.355175955671,6530.826211146806,22495067,33952.042899766864,24022.204285714284,0,0
32,Show1,1,2020-12-09,14,9,Regular,4981.8946683379445,14945.684005013833,12454.736670844859,53970526,196346.613188256,138287.00142857144,0,0
33,Show4,5,2024-09-17,2,0,PreLaunch,6056.5065038326775,15141.266259581693,18169.51951149803,62583902,79874.29593684271,54730.73714285714,0,0
34,Show4,2,2021-09-08,1,0,PreLaunch,17207.919923945425,5735.97330798181,14339.933269954523,65963693,56479.043069007406,40320.50571428571,0,0
35,Show1,4,2023-11-27,13,8,Regular,15701.177132033727,13084.314276694771,5233.725710677909,68038435,239790.21817836483,168641.49285714285,0,0
36,Show3,4,2023-11-15,11,6,Regular,15739.652475969797,6295.860990387919,18887.582971163756,68205161,209756.77939439492,147654.7557142857,1,0
37,Show2,3,2022-12-10,14,9,Regular,12675.124864622774,5070.0499458491095,15210.149837547331,54925541,78100.14948440649,54752.40285714286,0,0
38,Show3,3,2022-09-16,2,0,PreLaunch,17315.914363318403,6926.365745327361,20779.09723598208,75035628,122192.9028690523,85992.10285714285,0,0
39,Show4,2,2021-09-29,4,0,PreLaunch,10460.482658202256,3486.8275527340857,8717.068881835214,40098517,80773.41874592124,55481.77857142857,0,0
40,Show3,1,2020-12-16,15,10,Finale,10943.671868710933,13132.406242453118,4377.468747484373,56177515,196634.27049385366,140942.92428571428,0,0
41,Show8,2,2025-02-09,5,0,PreLaunch,8866.181357264682,7388.484464387236,,38420120,134500.2739152325,93648.73,0,0
42,Show2,4,2023-11-28,13,8,Regular,10636.982317232085,4254.792926892834,12764.378780678502,46093590,67490.85543891169,47276.57428571429,0,0
43,Show8,2,2025-02-19,6,1,Premiere,8533.663776663268,7111.386480552725,2844.55459222109,36979210,158430.46616112784,113637.36285714286,0,0
44,Show3,4,2023-10-10,6,1,Premiere,18237.796285382206,7295.118514152882,21885.35554245865,79030451,167722.66853339292,115573.81142857144,0,0
45,Show8,1,2024-01-23,2,0,PreLaunch,5393.313472183987,13483.283680459968,16179.940416551963,55730905,144157.86146438058,99684.41142857143,0,0
46,Show4,1,2020-09-11,1,0,PreLaunch,6619.479156330688,16548.697890826723,19858.437468992062,68401284,60448.04072786218,42138.16285714286,0,0
47,Show5,1,2023-06-19,2,0,PreLaunch,17081.26956846045,5693.75652282015,14234.391307050377,65478200,83004.9183770794,56764.107142857145,0,0
48,Show1,2,2021-11-26,12,7,Regular,20261.019531115013,6753.673177038336,16884.182942595842,77667241,233590.48815939107,165653.79571428572,0,0
49,Show2,5,2024-11-15,11,6,Regular,7977.460094858555,2659.1533649528515,6647.883412382129,30580264,60971.04884560668,42849.840000000004,1,0
50,Show6,2,2024-06-21,3,0,PreLaunch,15827.404177906199,5275.801392635401,13189.503481588501,60671716,121757.179744626,85848.35285714285,1,0
51,Show2,2,2021-10-27,8,3,Regular,3657.1366877429937,9142.841719357484,10971.41006322898,37790412,54113.3416241985,38341.15142857143,0,0
52,Show1,3,2022-09-10,1,0,PreLaunch,13283.052983233152,4427.684327744384,11069.21081936096,50918370,113144.72059516479,81564.18999999999,0,0
53,Show1,1,2020-11-19,11,6,Regular,5840.201232374527,17520.603697123577,14600.503080936314,63268846,209257.49027239834,145807.19714285716,1,0
54,Show4,5,2024-12-01,13,8,Regular,4141.882511114355,10354.706277785886,12425.647533343066,42799454,78732.59871438231,54416.19142857143,0,0
55,Show3,3,2022-11-22,12,7,Regular,15431.44000926478,6172.576003705911,18517.728011117735,66869573,207895.76245069067,143612.99285714285,0,0
56,Show8,1,2024-01-27,2,0,PreLaunch,5393.313472183987,13483.283680459968,16179.940416551963,55730905,144157.86146438058,99684.41142857143,0,0
57,Show1,5,2024-12-04,14,9,Regular,4691.928821502681,11729.822053756701,14075.786464508043,48483264,184796.54567374216,129386.37142857142,0,0
58,Show4,1,2020-11-03,8,3,Regular,2721.9208585265756,6804.802146316439,8165.762575579725,28126516,78546.57545195674,55404.01285714286,0,0
59,Show5,1,2023-08-24,12,7,Regular,10312.501024435656,3437.5003414785524,8593.750853696381,39531254,84893.76151822784,58911.41857142857,0,0
60,Show7,2,2025-04-14,14,9,Regular,6683.166500123744,16707.91625030936,20049.499500371236,69059388,85379.58339979702,59647.49571428571,0,0
61,Show1,2,2021-10-25,8,3,Regular,26547.644492729472,8849.214830909825,22123.03707727456,101765971,209458.30074963663,148155.38571428572,0,0
62,Show3,3,2022-10-10,5,0,PreLaunch,19560.717434809285,,23472.860921771146,84763109,184603.92556048481,,0,0
63,Show8,2,2025-04-06,13,8,Regular,15089.96546191677,12574.971218263974,5029.98848730559,65389849,157814.93842498004,112463.00285714286,0,0
64,Show2,1,2020-09-15,2,0,PreLaunch,13176.849493304453,15812.219391965342,5270.73979732178,67641161,53069.6181317646,37994.93,0,0
65,Show1,3,2022-11-27,13,8,Regular,17128.02130706493,,14273.351089220776,65657415,225367.13444980854,158095.98857142855,1,0
66,Show4,4,2023-09-16,2,0,PreLaunch,17083.332067377236,14236.110056147696,5694.444022459079,74027772,69028.91230711395,49142.12857142858,0,0
67,Show2,4,2023-11-19,11,6,Regular,5662.7334660840115,2265.0933864336043,6795.2801593008135,24538512,56969.697799333335,39948.46142857143,0,0
68,Show2,1,2020-10-11,5,0,PreLaunch,8721.066696713006,10465.280036055608,3488.426678685202,44768143,66845.59011402345,45352.467142857146,0,0
69,Show1,5,2024-12-06,14,9,Regular,4691.928821502681,11729.822053756701,14075.786464508043,48483264,184796.54567374216,129386.37142857142,0,0
70,Show8,1,2024-03-17,10,5,Regular,2747.841803999599,6869.604509998998,8243.525411998797,28394365,142943.39856215467,99188.7342857143,0,0
71,Show2,2,2021-11-18,11,6,Regular,2597.0532081653937,6492.633020413484,7791.159624496179,26836217,45833.48291391814,32131.197142857145,1,0
72,Show1,5,2024-10-08,6,1,Premiere,7599.694027673182,18999.235069182956,22799.082083019548,78530171,195741.76485007568,134616.2942857143,0,0
73,Show1,2,2021-11-15,11,6,Regular,21439.917399902977,7146.639133300993,17866.59783325248,82186350,240047.69709410676,163236.75285714286,0,0
74,Show4,4,2023-09-07,1,0,PreLaunch,19463.151813910128,16219.293178258438,6487.717271303375,84340324,56204.53827047737,39588.75571428571,0,0
75,Show6,1,2023-09-06,13,8,Regular,13809.274219642422,16571.12906357091,5523.709687856969,70887608,191661.481894758,132929.66142857142,0,0
76,Show4,1,2020-12-03,13,8,Regular,4126.045071359428,10315.11267839857,12378.135214078286,42635798,82604.57080575776,58215.32142857143,1,0
77,Show8,2,2025-03-07,8,3,Regular,9345.658904045376,7788.049086704481,3115.2196346817923,40497855,146113.79515999104,102607.95142857144,0,0
78,Show3,5,2024-11-12,11,6,Regular,7923.67326386278,23771.019791588336,19809.183159656946,85839794,207314.36875601386,145107.47285714286,0,1
79,Show2,1,2020-12-13,14,9,Regular,14414.077618819201,17296.893142583045,5765.631047527681,73992265,76683.43791372461,51761.775714285715,0,0
80,Show8,2,2025-03-14,9,4,Regular,8329.819389092792,6941.516157577328,2776.606463030931,36095883,138125.2441852284,97975.81428571428,0,0
81,Show4,4,2023-10-04,5,0,PreLaunch,11054.359136698213,9211.965947248511,3684.786378899404,47902223,,54082.735714285714,0,0
82,Show5,2,2024-09-07,14,9,Regular,5775.003114175832,14437.507785439579,17325.009342527497,59675032,103275.46846674565,71211.62571428572,0,0
83,Show4,2,2021-11-16,10,5,Regular,7251.261266191787,2417.087088730596,6042.71772182649,27796502,68956.22816901549,48634.61571428571,0,0
84,Show2,1,2020-09-23,3,0,PreLaunch,12261.917081245705,14714.300497494847,4904.7668324982815,62944508,63120.92762718415,43650.04,0,0
85,Show8,2,2025-04-04,12,7,Regular,9502.97261730541,7919.143847754509,3167.6575391018036,41179549,138470.83126950648,94816.99285714285,0,0
86,Show4,1,2020-10-28,8,3,Regular,2721.9208585265756,6804.802146316439,8165.762575579725,28126516,78546.57545195674,55404.01285714286,0,0
87,Show3,2,2021-09-28,4,0,PreLaunch,14650.943406105322,17581.132087326387,5860.377362442129,75208176,157307.33220144478,109518.73714285715,1,0
88,Show4,3,2022-09-29,4,0,PreLaunch,4009.630354164084,12028.891062492252,10024.075885410208,43437662,81473.55919139643,58278.648571428566,0,0
89,Show8,2,2025-03-16,10,5,Regular,6119.401808540666,5099.501507117222,2039.8006028468888,26517408,130865.38220957085,89749.61714285714,0,0
90,Show7,1,2024-04-06,13,8,Regular,3962.626960854084,11887.880882562255,9906.567402135212,42928459,69607.29045414222,49003.315714285716,0,0
91,Show5,2,2024-09-11,14,9,Regular,5775.003114175832,14437.507785439579,17325.009342527497,59675032,103275.46846674565,71211.62571428572,0,0
92,Show2,3,2022-10-06,5,0,PreLaunch,8295.375843252277,3318.150337300911,9954.451011902735,35946629,61789.04041227555,44112.43285714286,0,0
93,Show1,3,2022-10-08,5,0,PreLaunch,19057.85362712994,6352.617875709979,15881.544689274948,73055106,169887.35658605155,119962.17428571428,0,0
94,Show5,2,2024-08-07,9,4,Regular,3196.7063747216607,7991.765936804152,9590.119124164983,33032633,65811.67080332982,46189.71142857143,0,0
95,Show3,5,2024-11-23,12,7,Regular,6370.3969658944625,19111.19089768339,15925.992414736158,69012634,204691.4880899822,145000.36142857143,0,0
96,Show3,3,2022-10-03,4,0,PreLaunch,17896.444778861674,7158.57791154467,21475.73373463401,77551261,159045.63317672163,109408.06142857144,0,0
97,Show2,1,2020-11-01,8,3,Regular,,,2424.3686354102874,31112731,69982.92869007612,50137.18,0,0
98,Show1,4,2023-11-16,11,6,Regular,19156.96425287569,15964.13687739641,6385.654750958564,83013512,261690.32267097666,181209.35857142857,0,0
99,Show2,2,2021-10-31,8,3,Regular,3657.1366877429937,9142.841719357484,10971.41006322898,37790412,54113.3416241985,38341.15142857143,0,0
100,Show1,3,2022-10-12,6,1,Premiere,20751.798671809847,6917.2662239366155,17293.16555984154,79548562,181786.9372135149,125335.88428571427,0,0
101,Show1,1,2020-12-07,14,9,Regular,4981.8946683379445,14945.684005013833,12454.736670844859,53970526,196346.613188256,138287.00142857144,0,0
102,Show5,1,2023-09-07,14,9,Regular,17780.11423137525,5926.704743791749,14816.761859479373,68157104,108988.19180393484,76617.92714285714,0,0
103,Show3,4,2023-10-18,7,2,Regular,22884.85231914573,9153.940927658292,27461.822782974876,99167694,200860.04876761642,139966.4957142857,0,0
104,Show1,4,2023-10-16,7,2,Regular,20603.394219597707,17169.49518299809,6867.798073199235,89281375,207899.1948455977,143153.13857142857,0,0
105,Show2,1,2020-10-28,8,3,Regular,6060.921588525719,7273.105906230861,2424.3686354102874,31112731,69982.92869007612,50137.18,0,0
106,Show2,2,2021-09-17,2,0,PreLaunch,5759.9641246536285,14399.910311634072,17279.892373960884,59519629,63167.37583716046,43177.80857142857,0,0
107,Show5,1,2023-08-21,11,6,Regular,8032.832836155481,2677.6109453851604,6694.027363462902,30792526,78523.70824223457,56660.59428571428,0,0
108,Show1,5,2024-09-25,4,0,PreLaunch,7051.271779628287,17628.179449070714,21153.81533888486,72863141,179792.30720772248,127587.97,0,0
109,Show1,1,2020-11-14,10,5,Regular,5907.181133476084,17721.54340042825,14767.95283369021,63994463,213068.36898508747,148403.7,0,0
110,Show2,1,2020-11-29,12,7,Regular,8931.956978502907,10718.348374203488,3572.7827914011627,45850713,76115.97771790042,54028.46428571428,0,0
111,Show1,3,2022-12-07,14,9,Regular,16953.84964868469,5651.283216228229,14128.208040570575,64989757,213946.6638120037,150543.48714285714,0,0
112,Show8,1,2024-03-19,10,5,Regular,2747.841803999599,6869.604509998998,8243.525411998797,28394365,142943.39856215467,99188.7342857143,0,0
113,Show1,5,2024-11-12,11,6,Regular,6738.1376340653305,16845.344085163328,20214.412902195993,69627422,204338.8964748464,142730.60571428572,0,0
114,Show7,2,2025-03-08,9,4,Regular,2472.4211315594507,6181.052828898626,7417.263394678352,25548352,58555.95472734678,39958.137142857144,0,0
115,Show7,2,2025-02-06,4,0,PreLaunch,3636.754539465658,9091.886348664146,10910.263618396973,37579798,55145.25802231515,38771.98714285714,0,0
116,Show2,5,2024-09-24,4,0,PreLaunch,13218.37348113613,4406.124493712043,11015.311234280107,50670431,68360.11073721034,47001.77142857143,0,0
117,Show6,2,2024-07-16,6,1,Premiere,28733.106914013082,9577.702304671027,23944.25576167757,110143577,178400.53790033868,124229.29857142856,0,0
118,Show1,1,2020-11-21,11,6,Regular,5840.201232374527,17520.603697123577,14600.503080936314,63268846,209257.49027239834,145807.19714285716,1,0
119,Show4,5,2024-09-25,4,0,PreLaunch,4349.080852598664,10872.702131496659,13047.242557795991,44940502,77194.2674421235,54024.16857142857,0,0
120,Show2,1,2020-09-30,4,0,PreLaunch,12098.439220875005,14518.127065050006,4839.375688350002,62105322,78391.21221985972,54096.684285714284,0,0
121,Show5,2,2024-09-08,14,9,Regular,5775.003114175832,14437.507785439579,17325.009342527497,59675032,103275.46846674565,71211.62571428572,0,0
122,Show1,5,2024-09-09,2,0,PreLaunch,5256.633716556678,13141.584291391695,15769.901149670035,54318549,139778.29735014908,98478.75,0,0
123,Show1,2,2021-11-30,13,8,Regular,18070.075298947188,6023.358432982394,15058.396082455989,69268622,231396.73719171333,162779.4785714286,0,0
124,Show6,1,2023-07-22,7,2,Regular,22907.451410809525,27488.941692971428,9162.98056432381,117591584,210601.25562827452,146741.31142857144,0,0
125,Show1,4,2023-12-01,13,8,Regular,15701.177132033727,13084.314276694771,5233.725710677909,68038435,239790.21817836483,168641.49285714285,0,0
126,Show1,1,2020-09-08,1,0,PreLaunch,4028.2977043205124,12084.893112961536,10070.744260801279,43639891,117856.38004025968,82590.00571428573,0,0
127,Show4,4,2023-10-06,5,0,PreLaunch,11054.359136698213,9211.965947248511,3684.786378899404,47902223,80186.62712955054,54082.735714285714,0,0
128,Show1,4,2023-10-03,5,0,PreLaunch,20787.841391858856,17323.201159882377,6929.28046395295,90080645,196754.65068684143,140063.79285714286,0,0
129,Show3,2,2021-11-27,12,7,Regular,13197.444844963637,15836.933813956364,5278.977937985454,67746884,225776.6366117806,158571.48,0,0
130,Show4,2,2021-09-23,3,0,PreLaunch,16181.229365964939,5393.743121988312,13484.357804970781,62028046,85045.46557553558,59540.63,0,0
131,Show1,2,2021-11-28,13,8,Regular,18070.075298947188,6023.358432982394,15058.396082455989,69268622,231396.73719171333,162779.4785714286,0,0
132,Show4,3,2022-09-14,2,0,PreLaunch,6499.839307851572,19499.51792355472,16249.59826962893,70414926,84655.27186206584,58234.62,0,0
133,Show4,2,2021-10-25,7,2,Regular,8696.402372203762,2898.800790734587,7247.001976836467,33336210,85412.35907505102,59268.05285714286,0,0
134,Show8,2,2025-04-07,13,8,Regular,15089.96546191677,12574.971218263974,5029.98848730559,65389849,157814.93842498004,112463.00285714286,0,0
135,Show6,1,2023-07-14,6,1,Premiere,20431.933739837204,24518.320487804645,8172.773495934882,104883926,196189.27215274962,140277.9457142857,1,0
136,Show1,4,2023-09-17,3,0,PreLaunch,18551.832864643242,15459.860720536035,6183.944288214414,80391275,149849.60883015222,106469.12714285715,0,0
137,Show6,2,2024-08-30,13,8,Regular,16779.222381725976,5593.074127241993,13982.685318104981,64320352,179217.47394129884,124956.13428571427,0,0
138,Show6,2,2024-06-25,3,0,PreLaunch,15827.404177906199,5275.801392635401,13189.503481588501,60671716,121757.179744626,85848.35285714285,1,0
139,Show1,3,2022-10-09,6,1,Premiere,20751.798671809847,6917.2662239366155,17293.16555984154,79548562,181786.9372135149,125335.88428571427,0,0
140,Show4,3,2022-12-16,15,10,Finale,7067.862528601103,21203.587585803314,17669.65632150276,76568510,108211.08622783468,75751.05714285714,0,0
141,Show4,1,2020-09-25,3,0,PreLaunch,4486.003937077338,11215.009842693345,13458.011811232018,46355375,86233.59034864263,60640.92428571428,0,0
142,Show5,2,2024-07-15,6,1,Premiere,3182.2476955705934,7955.619238926483,9546.74308671178,32883226,86592.87708264825,62358.46428571428,0,0
143,Show8,1,2024-04-22,15,10,Finale,6672.406742095161,16681.0168552379,20017.22022628548,68948203,168612.92672028745,117825.1142857143,0,0
144,Show3,5,2024-10-22,8,3,Regular,8284.713226422044,24854.139679266133,20711.783066055108,89751060,228982.38575989954,155357.93,0,0
145,Show5,1,2023-06-13,1,0,PreLaunch,19123.415670693877,6374.471890231293,15936.179725578233,73306427,48725.27507145634,33439.229999999996,0,0
146,Show7,2,2025-03-16,10,5,Regular,2176.9420703822684,5442.355175955671,6530.826211146806,22495067,33952.042899766864,24022.204285714284,0,0
147,Show3,2,2021-09-29,4,0,PreLaunch,14650.943406105322,17581.132087326387,5860.377362442129,75208176,157307.33220144478,109518.73714285715,1,0
148,Show4,2,2021-11-09,9,4,Regular,8523.499888443543,2841.1666294811807,7102.916573702952,32673416,77443.26987365073,54254.159999999996,0,0
149,Show6,1,2023-08-07,9,4,Regular,,24412.628987179978,8137.542995726659,104431802,228048.21471163823,162662.67285714284,0,0
150,Show1,3,2022-09-19,3,0,PreLaunch,16321.415592265217,5440.471864088405,13601.179660221014,62565427,135328.97137753342,96229.97285714287,0,0
151,Show7,1,2024-04-16,14,9,Regular,5438.933022433889,16316.799067301667,13597.33255608472,58921775,72535.0686321157,50302.08571428571,0,0
152,Show4,1,2020-10-10,5,0,PreLaunch,3185.941897502132,7964.854743755331,9557.825692506396,32921399,75489.10990055448,53591.26142857143,0,0
153,Show3,4,2023-10-17,7,2,Regular,22884.85231914573,9153.940927658292,27461.822782974876,99167694,200860.04876761642,139966.4957142857,0,0
154,Show5,1,2023-08-16,10,5,Regular,7466.3594935819765,2488.786497860659,6221.966244651647,28621044,87525.73417212666,60840.96571428572,0,0
155,Show5,2,2024-07-03,4,0,PreLaunch,3481.8513752475183,8704.628438118796,10445.554125742554,35979131,85985.5149437143,60585.37,0,0
156,Show2,2,2021-09-21,3,0,PreLaunch,5087.200775034579,12718.001937586447,15261.602325103739,52567741,75249.58731736883,53444.19142857143,0,0
157,Show1,5,2024-11-18,12,7,Regular,,14947.060510140082,17936.472612168098,61781184,211957.80994073322,148636.63571428572,0,0
158,Show2,2,2021-11-11,10,5,Regular,2425.809155245002,6064.522888112503,7277.427465735004,25066694,44803.1437162824,31488.182857142856,0,0
159,Show8,1,2024-03-07,8,3,Regular,3410.589467259705,8526.473668149261,10231.768401779114,35242757,158529.26037766514,111675.30714285714,0,0
160,Show7,1,2024-02-10,5,0,PreLaunch,2975.9200433072083,8927.760129921624,7439.800108268021,32239133,52146.560432483035,36372.90857142857,0,0
161,Show4,2,2021-11-10,10,5,Regular,7251.261266191787,2417.087088730596,6042.71772182649,27796502,68956.22816901549,48634.61571428571,0,0
162,Show3,1,2020-11-16,10,5,Regular,18233.579548181257,21880.295457817505,7293.431819272503,93599042,241343.6653306396,165634.63285714286,0,0
163,Show6,2,2024-07-21,7,2,Regular,23635.804409086755,7878.6014696955845,19696.50367423896,90603917,183482.9885678352,126898.28571428571,0,0
164,Show2,1,2020-12-12,14,9,Regular,14414.077618819201,17296.893142583045,5765.631047527681,73992265,76683.43791372461,51761.775714285715,0,0
165,Show5,1,2023-06-12,1,0,PreLaunch,19123.415670693877,6374.471890231293,15936.179725578233,73306427,48725.27507145634,33439.229999999996,0,0
166,Show1,2,2021-11-19,11,6,Regular,21439.917399902977,7146.639133300993,17866.59783325248,82186350,240047.69709410676,163236.75285714286,0,0
167,Show3,1,2020-10-16,6,1,Premiere,20590.570815656254,24708.684978787507,8236.228326262502,105698263,199926.1507171238,139654.41,0,0
168,Show4,5,2024-12-03,13,8,Regular,4141.882511114355,10354.706277785886,12425.647533343066,42799454,78732.59871438231,54416.19142857143,0,0
169,Show1,4,2023-10-11,6,1,Premiere,23787.721830405117,19823.1015253376,7929.240610135038,103080128,205316.64146139403,145033.06857142856,0,1
170,Show2,1,2020-10-18,6,1,Premiere,8792.186049190941,10550.62325902913,3516.8744196763764,45133222,75250.63337942668,52194.62,0,0
171,Show8,1,2024-01-30,3,0,PreLaunch,5685.7811645872225,14214.452911468057,17057.34349376167,58753072,155882.81156083493,108213.03142857143,0,0
172,Show2,2,2021-09-06,1,0,PreLaunch,6685.693688709012,16714.23422177253,20057.081066127033,69085501,40518.07724897758,27799.625714285714,0,0
173,Show1,5,2024-09-14,2,0,PreLaunch,5256.633716556678,13141.584291391695,15769.901149670035,54318549,139778.29735014908,98478.75,0,0
174,Show2,5,2024-10-01,5,0,PreLaunch,12236.701353586917,4078.9004511956396,10197.251127989099,46907355,69704.09860438413,48309.885714285716,0,0
175,Show3,1,2020-11-02,8,3,Regular,22958.5724873402,27550.28698480824,9183.42899493608,117854005,233964.223836628,168946.79,0,0
176,Show4,4,2023-12-15,15,10,Finale,22269.427917918238,18557.856598265196,7423.142639306077,96500854,120773.35704979442,83881.63285714286,0,1
177,Show6,2,2024-09-02,13,8,Regular,16779.222381725976,5593.074127241993,13982.685318104981,64320352,179217.47394129884,124956.13428571427,0,0
178,Show6,2,2024-07-24,7,2,Regular,23635.804409086755,7878.6014696955845,19696.50367423896,90603917,183482.9885678352,126898.28571428571,0,0
179,Show6,1,2023-07-03,4,0,PreLaunch,18534.75896732557,22241.710760790687,7413.903586930229,95145097,145055.7143993102,100441.22571428571,0,0
180,Show1,3,2022-09-30,4,0,PreLaunch,18927.657687862637,6309.219229287546,15773.048073218864,72556021,164286.85069531846,113292.36714285714,0,0
181,Show4,4,2023-09-29,4,0,PreLaunch,11530.064586616558,9608.3871555138,3843.3548622055196,49963613,72246.04204639535,49499.450000000004,0,0
182,Show4,3,2022-11-05,9,4,Regular,2648.3783110593254,7945.134933177976,6620.945777648312,28690765,73980.98221119867,51537.30857142857,0,0
183,Show4,5,2024-10-01,4,0,PreLaunch,4349.080852598664,10872.702131496659,13047.242557795991,44940502,77194.2674421235,54024.16857142857,0,0
184,Show2,2,2021-09-22,3,0,PreLaunch,5087.200775034579,12718.001937586447,15261.602325103739,52567741,75249.58731736883,53444.19142857143,0,0
185,Show1,3,2022-11-03,9,4,Regular,23705.608485206143,7901.869495068714,19754.673737671787,90871499,231178.68167354687,161384.26,0,1
186,Show7,1,2024-04-21,15,10,Finale,6860.738536949611,20582.21561084883,17151.84634237403,74324667,86921.25385694577,60385.397142857146,0,1
187,Show5,2,2024-06-13,2,0,PreLaunch,5104.80090770447,12762.002269261173,15314.40272311341,52749610,76552.8908657912,53611.52428571428,0,0
188,Show8,2,2025-02-27,7,2,Regular,9589.29329034969,7991.0777419580745,3196.4310967832293,41553604,137124.96094880355,95439.47142857143,0,0
189,Show4,5,2024-10-10,6,1,Premiere,3539.714177996037,8849.285444990093,10619.142533988112,36577047,85164.32242038574,59716.86571428571,1,0
190,Show6,2,2024-06-12,1,0,PreLaunch,14090.491062109551,4696.830354036518,11742.075885091295,54013549,93904.53212903682,65985.39285714286,0,0
191,Show1,5,2024-12-09,15,10,Finale,4138.836635774242,10347.091589435604,12416.509907322723,42767978,177611.74240321363,122381.10571428572,0,0
